time,altitude,accel_g
0.0,0.0,1.0
0.1,0.0,1.0
0.2,0.0,1.0
0.3,0.0,1.0
0.4,0.0,1.0
0.5,0.0,1.0
0.6,0.0,1.0
0.7,0.0,1.0
0.8,0.0,1.0
0.9,0.0,1.0
1.0,0.0,1.0
1.1,0.2,3.1
1.2,0.6,3.1
1.3,1.2,3.1
1.4,2.0,3.1
1.5,3.0,3.1
1.6,4.2,3.1
1.7,5.7,3.1
1.8,7.3,3.1
1.9,9.1,3.1
2.0,11.1,3.1
2.1,13.3,3.1
2.2,15.8,3.1
2.3,18.4,3.1
2.4,21.2,3.1
2.5,24.2,3.1
2.6,27.5,3.1
2.7,30.9,3.1
2.8,34.5,3.1
2.9,38.4,3.1
3.0,42.1,0.0
3.1,45.8,0.0
3.2,49.3,0.0
3.3,52.8,0.0
3.4,56.1,0.0
3.5,59.4,0.0
3.6,62.5,0.0
3.7,65.6,0.0
3.8,68.5,0.0
3.9,71.4,0.0
4.0,74.1,0.0
4.1,76.8,0.0
4.2,79.4,0.0
4.3,81.8,0.0
4.4,84.2,0.0
4.5,86.5,0.0
4.6,88.6,0.0
4.7,90.7,0.0
4.8,92.7,0.0
4.9,94.6,0.0
5.0,96.3,0.0
5.1,98.0,0.0
5.2,99.6,0.0
5.3,101.1,0.0
5.4,102.5,0.0
5.5,103.8,0.0
5.6,105.0,0.0
5.7,106.1,0.0
5.8,107.1,0.0
5.9,108.0,0.0
6.0,108.8,0.0
6.1,109.5,0.0
6.2,110.1,0.0
6.3,110.6,0.0
6.4,111.0,0.0
6.5,111.3,0.0
6.6,111.5,0.0
6.7,111.6,0.0
6.8,111.6,0.0
6.9,111.5,0.0
7.0,111.4,0.0
7.1,111.1,0.0
7.2,110.7,0.0
7.3,110.2,0.0
7.4,109.7,0.0
7.5,109.0,0.0
7.6,108.2,0.0
7.7,107.4,0.0
7.8,106.4,0.0
7.9,105.3,0.0
8.0,104.2,0.0
8.1,102.9,0.0
8.2,101.6,0.0
8.3,100.1,0.0
8.4,98.6,0.0
8.5,96.9,0.0
8.6,95.2,0.0
8.7,93.3,0.0
8.8,91.4,0.0
8.9,89.3,0.0
9.0,87.2,0.0
9.1,84.9,0.0
9.2,82.6,0.0
9.3,80.2,0.0
9.4,77.6,0.0
9.5,75.0,0.0
9.6,72.3,0.0
9.7,69.5,0.0
9.8,66.5,0.0
9.9,63.5,0.0
10.0,60.4,0.0
10.1,57.2,0.0
10.2,53.9,0.0
10.3,50.4,0.0
10.4,46.9,0.0
10.5,43.3,0.0
10.6,39.6,0.0
10.7,35.8,0.0
10.8,31.9,0.0
10.9,27.9,0.0
11.0,23.8,0.0
11.1,19.6,0.0
11.2,15.3,0.0
11.3,10.9,0.0
11.4,6.4,0.0
11.5,1.8,0.0
11.6,-2.9,0.0
